arrondissements,cantons,communes,departements,regions,quartiers,QP
Compiègne,Argenteuil-3,Afa,,,Benoni,QP013019
Condom,Argentière-la-Bessée,Affieux,,,Benza,QP013020
Confolens,Argenton-sur-Creuse,Affléville,,,Bernon - Vignes Blanches,QP013021
Corte,Argonne Suippe et Vesle,Affoux,,,Berthaudière - Sablons - Cornavent,QP013022
Cosne-Cours-sur-Loire,Arize-Lèze,Affracourt,,,Berthe,QP013023
Coutances,Arles,Affringues,,,Bien-Assis,QP013024
Créteil,Armagnac-Ténarèze,Agassac,,,Biollay - Bellevue,QP013025
Céret,Armentières,Agde,,,Bitola-La Vierge,QP013027
Dax,Arnay-le-Duc,Agel,,,Bizet - Briqueterie,QP013028
Die,Arpajon,Agen,,,Blanc Riez,QP013029
Dieppe,Arpajon-sur-Cère,Agen-d'Aveyron,,,Blanchard,QP013030
Digne-les-Bains,Arras-1,Agencourt,,,Blanqui,QP013031
Dijon,Arras-2,Agenville,,,Blois Nord,QP013032
Dinan,Arras-3,Agenvillers,,,Blossières,QP013033
Dole,Artix et Pays de Soubestre,Ageux,,,Blum - Salengro - 109,QP013034
Douai,Asnières-sur-Seine,Ageville,,,Blémont,QP013035
Draguignan,Aspres,Agey,,,Bléville,QP013036
Dreux,Astarac-Gimone,Aghione,,,Boiffiers - Bellevue,QP013037
Dunkerque,Athis-Mons,Agincourt,,,Bois D'Olives,QP013038
Figeac,Athis-de-l'Orne,Agmé,,,Bois De L'Etang - Orly parc,QP013039
Florac,Attignat,Agnac,,,Bois Du Quesnoy,QP013040
Flèche,Attigny,Agnat,,,Bois Du Verne,QP013041
Foix,Aubagne,Agneaux,,,Bois Jolivet - Les Iles - Bellerive,QP013042
Fontainebleau,Aubenas-1,Agnetz,,,Bois Le Prêtre - Procheville,QP013043
Fontenay-le-Comte,Aubenas-2,Agnez-lès-Duisans,,,Bois de Nèfles Cocos,QP013044
Forbach-Boulay-Moselle,Aubergenville,Agnicourt-et-Séchelles,,,Bois de Nèfles Portail Plate,QP013045
Forcalquier,Aubervilliers,Agnin,,,Bois du Château,QP013046
Fougères-Vitré,Aubigny-sur-Nère,Agnières,,,Bois-De-Bléville,QP013047
